"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"auc.bn.avg",0.925131138255302,0.942231490781034,0.808877462642544,0.80883306981637,0.851287914891951,0.921785450327093,0.934534929973047,0.941572926904135,0.920695917766588,0.768630976048967,0.826419432368598,0.980442480942395,0.626391157027101,0.657731286596915,0.931238819594018,0.909483257827168,0.743734399604968,0.939611808094985,0.974453838812289,0.980020106231603,0.979564718705606,0.971268195141695,0.623084880196675,0.980020106231603,0.97501763064377,0.896121940649155,0.918156830564842,0.921811367200259,0.979642060597371,0.885923425381338,0.982067974821593,0.970199533364847,0.979815554689919,0.974332511565459,0.982313467385854,0.918505553721683,0.956093699973343
"auc.tan.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.hc.k2.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.hc.bde.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.hc.aic.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.tabu.k2.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.tabu.bde.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.tabu.aic.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.gs.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
"auc.mmhc.avg",0.894210289323118,0.894603961749305,0.901198059674706,0.789955543362588,0.855412282987783,0.888674036961893,0.882171546806115,0.90572668049608,0.888628922092892,0.842985385959519,0.74792180668603,0.947433271041099,0.66573265436169,0.669040242938412,0.917137353656385,0.903892571954735,0.733170457022704,0.91530449113877,0.930624385576573,0.9361242672798,0.932207798792313,0.926176122752552,0.628015967314528,0.9361242672798,0.932543297165109,0.844736189606173,0.884706786117224,0.888687545145258,0.948065193998307,0.873798228282337,0.935085538228659,0.920634635808684,0.925816899420182,0.90855560747311,0.94238488440167,0.860324885340936,0.924798258494559
